domain,saas,pbn,checked
greenbiz.com,0.0,0.0,True
gridinsoft.com,0.0,0.0,True
gritdaily.com,1.0,8.0,True
growthforce.com,,,
gsam.com,,,
gtm.com,0.0,2.0,True
theglobaltreasurer.com,1.0,1.0,True
guard.io,0.0,0.0,True
gymdesk.com,0.0,1.0,True
how2shout.com,1.0,4.0,True
haivision.com,0.0,1.0,True
handmadewriting.com,0.0,0.0,True
hartenergy.com,0.0,3.0,True
harvardlawreview.org,0.0,2.0,True
hedera.com,0.0,0.0,True
hashtagify.me,0.0,0.0,True
havenlife.com,0.0,0.0,True
hawkemedia.com,0.0,0.0,True
hbm.com,0.0,0.0,True
ocorian.com,0.0,0.0,True
health-street.net,0.0,0.0,True
utswmed.org,0.0,0.0,True
hearingreview.com,0.0,0.0,True
helcim.com,0.0,0.0,True
hellotech.com,0.0,0.0,True
extend.com,0.0,0.0,True
hennepin.us,0.0,1.0,True
hstalks.com,0.0,0.0,True
herbein.com,,,
herovired.com,0.0,2.0,True
hfma.org,0.0,0.0,True
hipaajournal.com,0.0,0.0,True
hiredsupport.com,0.0,0.0,True
hireology.com,0.0,0.0,True
townscript.com,0.0,0.0,True
hollyland.com,0.0,0.0,True
hollywoodbranded.com,0.0,0.0,True
homagames.com,0.0,0.0,True
homes.com,0.0,0.0,True
hotelchantelle.com,0.0,1.0,True
housebeautiful.com,0.0,1.0,True
housingwire.com,1.0,2.0,True
htc.com,0.0,0.0,True
hubilo.com,0.0,0.0,True
hubs.com,1.0,1.0,True
huckleberry.com,0.0,1.0,True
hrw.org,0.0,1.0,True
humaninterest.com,0.0,1.0,True
husqvarna.com,0.0,0.0,True
hyro.ai,1.0,0.0,True
ibsintelligence.com,0.0,0.0,True
icoholder.com,0.0,2.0,True
idcon.com,0.0,0.0,True
ideal.com,0.0,0.0,True
ideamotive.co,0.0,0.0,True
idsalliance.org,0.0,0.0,True
identityforce.com,1.0,2.0,True
idtheftcenter.org,0.0,0.0,True
ifourtechnolab.com,,,
ifrs.org,0.0,2.0,True
ign.com,0.0,4.0,True
ignitespot.com,,,
iiba.org,0.0,0.0,True
trendhunter.com,1.0,6.0,True
imobie.com,,,
imrg.org,0.0,0.0,True
inbound.com,0.0,0.0,True
incentivesmart.com,,,
incharge.org,1.0,0.0,True
incworx.com,0.0,1.0,True
indexventures.com,0.0,0.0,True
indiehackers.com,0.0,0.0,True
influencive.com,0.0,1.0,True
infura.io,0.0,0.0,True
inkfactorystudio.com,0.0,1.0,True
getinkspired.com,0.0,0.0,True
inman.com,1.0,3.0,True
rd.com,0.0,0.0,True
innovativeemployeesolutions.com,0.0,0.0,True
inscribe.ai,0.0,0.0,True
inseego.com,0.0,0.0,True
clinicalleader.com,,,
inshot.com,0.0,0.0,True
insidehighered.com,0.0,1.0,True
instructables.com,0.0,0.0,True
iii.org,0.0,1.0,True
intechnic.com,,,
intellifluence.com,0.0,0.0,True
foundersguide.com,0.0,1.0,True
interaction-design.org,0.0,0.0,True
nachi.org,0.0,0.0,True
iasonline.org,0.0,1.0,True
franchise.org,0.0,1.0,True
123test.com,0.0,1.0,True
internationalsecurityjournal.com,0.0,2.0,True
digitalcommerce360.com,0.0,2.0,True
interviewbit.com,0.0,0.0,True
intradiem.com,0.0,0.0,True
invenglobal.com,0.0,0.0,True
investinganswers.com,0.0,1.0,True
investmentbank.com,0.0,0.0,True
romaniajournal.ro,0.0,5.0,True
invezz.com,0.0,0.0,True
iotworldtoday.com,0.0,0.0,True
ipostal1.com,0.0,0.0,True
ipsnews.net,0.0,2.0,True
ipxo.com,0.0,0.0,True
ircsalessolutions.com,0.0,0.0,True
ironyun.com,0.0,0.0,True
ixiegaming.com,4.0,0.0,True
janbasktraining.com,3.0,0.0,True
jdsupra.com,1.0,0.0,True
jpost.com,0.0,3.0,True
jingdaily.com,0.0,6.0,True
jll.co.uk,,,
jobadder.com,0.0,0.0,True
jobcase.com,0.0,0.0,True
klarna.com,0.0,1.0,True
jontorres.com,1.0,0.0,True
juliusbaer.com,0.0,0.0,True
kadence.co,0.0,0.0,True
kff.org,0.0,0.0,True
fourweekmba.com,1.0,0.0,True
kamerpower.com,0.0,3.0,True
kashoo.com,0.0,0.0,True
kayako.com,3.0,1.0,True
kdnuggets.com,0.0,2.0,True
keepertax.com,0.0,0.0,True
keepsolid.com,0.0,0.0,True
kensington.com,2.0,1.0,True
keras.io,0.0,0.0,True
kickassux.com,0.0,0.0,True
kindful.com,0.0,0.0,True
klood.com,,,
knightcolumbia.org,0.0,0.0,True
knowband.com,,,
koganpage.com,2.0,0.0,True
kolabtree.com,0.0,1.0,True
gala-global.org,0.0,0.0,True
kps.com,0.0,0.0,True
kumospace.com,0.0,0.0,True
kunocreative.com,,,
insidebigdata.com,0.0,0.0,True
l3harris.com,0.0,0.0,True
monster.ca,0.0,1.0,True
laivideo.com,1.0,3.0,True
trainingmag.com,0.0,1.0,True
lanagerton.com,0.0,1.0,True
laurelroad.com,0.0,0.0,True
law.com,0.0,0.0,True
lawdepot.com,0.0,0.0,True
ldplayer.net,0.0,0.0,True
leadangel.com,0.0,0.0,True
word.tips,5.0,0.0,True
learnvern.com,,,
lease-advice.org,0.0,1.0,True
ledlightingsupply.com,0.0,1.0,True
leetcode.com,0.0,0.0,True
legalshield.com,0.0,0.0,True
legendfinancial.co.uk,3.0,1.0,True
lemonlight.com,0.0,2.0,True
letseatgrandma.com,0.0,0.0,True
leverageedu.com,0.0,0.0,True
lexology.com,1.0,0.0,True
libelium.com,0.0,0.0,True
libertytax.com,0.0,0.0,True
lightreading.com,2.0,2.0,True
lightyear.ai,0.0,0.0,True
lincoln.com,,,
lingvanex.com,0.0,1.0,True
linksmanagement.com,0.0,0.0,True
linkyjuice.com,0.0,0.0,True
litum.com,2.0,2.0,True
livecareer.com,,,
livelaw.in,0.0,1.0,True
logility.com,,,
logmein.com,,,
lpcentre.com,1.0,1.0,True
visitlongbeach.com,0.0,0.0,True
firstbird.com,0.0,0.0,True
loyal.guru,0.0,0.0,True
macrumors.com,0.0,1.0,True
beebom.com,0.0,3.0,True
mageworx.com,0.0,0.0,True
magix.com,0.0,0.0,True
magnifymoney.com,0.0,0.0,True
magora-systems.com,3.0,4.0,True
malavida.com,0.0,0.0,True
mambu.com,0.0,1.0,True
managecasa.com,1.0,0.0,True
managementstudyguide.com,13.0,2.0,True
mannequinmall.com,0.0,1.0,True
manning.com,0.0,1.0,True
manobyte.com,2.0,0.0,True
e-estonia.com,0.0,0.0,True
marketing360.com,1.0,3.0,True
marketingmag.com.au,0.0,2.0,True
marketing-interactive.com,0.0,0.0,True
marketingprofs.com,3.0,0.0,True
marketingweek.com,5.0,1.0,True
marketing91.com,4.0,1.0,True
markletic.com,2.0,0.0,True
markmonitor.com,0.0,0.0,True
marktechpost.com,0.0,0.0,True
martechcube.com,9.0,0.0,True
martech.org,6.0,0.0,True
massgeneral.org,0.0,0.0,True
massmutual.com,,,
masterbundles.com,0.0,3.0,True
masterclass.com,0.0,0.0,True
mastersindatascience.org,1.0,0.0,True
mathsisfun.com,0.0,0.0,True
bookkeeping-services.com,1.0,1.0,True
maximizemarketresearch.com,0.0,1.0,True
mcchrystalgroup.com,0.0,0.0,True
mheducation.com,0.0,0.0,True
buildoffshoreteam.com,2.0,0.0,True
mct-trading.com,0.0,0.0,True
mdanderson.org,,,
mediamodifier.com,1.0,3.0,True
outsource2india.com,22.0,2.0,True
meetingdecisions.com,,,
mefa.org,0.0,0.0,True
merchantmaverick.com,1.0,0.0,True
metapress.com,0.0,4.0,True
metlife.com,0.0,1.0,True
mgma.com,1.0,1.0,True
mgnevents.co.uk,0.0,0.0,True
mhrglobal.com,0.0,0.0,True
mhubchicago.com,0.0,2.0,True
microassist.com,0.0,0.0,True
migrationpolicy.org,0.0,2.0,True
millennialmoney.com,0.0,0.0,True
millimetric.ai,0.0,0.0,True
minderest.com,0.0,0.0,True
mindinventory.com,,,
mindmajix.com,0.0,1.0,True
mindmingles.com,,,
mindstick.com,8.0,3.0,True
mirasvit.com,0.0,0.0,True
mixbook.com,0.0,0.0,True
mixergy.com,0.0,0.0,True
mobileappdaily.com,4.0,2.0,True
mobilunity.com,0.0,0.0,True
iwantmyname.com,0.0,0.0,True
startupdonut.co.uk,0.0,3.0,True
mondaq.com,0.0,0.0,True
moneyfit.org,1.0,1.0,True
moneyhelper.org.uk,0.0,0.0,True
moneypenny.com,0.0,0.0,True
moneytap.com,0.0,0.0,True
moneyweek.com,0.0,0.0,True
mononaterrace.com,0.0,1.0,True
monster.com,0.0,1.0,True
montway.com,0.0,0.0,True
moovaz.com,0.0,1.0,True
morganmckinley.com,0.0,1.0,True
motaword.com,0.0,0.0,True
motionedits.com,2.0,0.0,True
motionarray.com,0.0,0.0,True
motioncue.com,2.0,2.0,True
motiongility.com,2.0,0.0,True
movavi.com,1.0,0.0,True
moxieinstitute.com,0.0,0.0,True
mrsc.org,1.0,2.0,True
msesupplies.com,0.0,3.0,True
msg91.com,2.0,0.0,True
muckrack.com,0.0,0.0,True
mudrex.com,0.0,0.0,True
multidots.com,3.0,0.0,True
multilingual.com,0.0,5.0,True
mutuallyhuman.com,0.0,0.0,True
mychoicesoftware.com,0.0,1.0,True
mycountrymobile.com,3.0,0.0,True
mymanagementguide.com,2.0,1.0,True
mysocialpractice.com,0.0,0.0,True
mybusiness.com.au,,,
myfxbook.com,0.0,0.0,True
super.ai,1.0,0.0,True
nacha.org,0.0,4.0,True
nakivo.com,0.0,1.0,True
namesilo.com,0.0,0.0,True
nandbox.com,0.0,0.0,True
nao.org.uk,0.0,0.0,True
napollo.net,6.0,0.0,True
nber.org,0.0,0.0,True
councilofnonprofits.org,0.0,0.0,True
staysafeonline.org,0.0,0.0,True
ffa.org,0.0,2.0,True
nfsrv.com,1.0,1.0,True
nationalgrid.com,0.0,1.0,True
nsc.org,0.0,1.0,True
optitrack.com,0.0,2.0,True
thehartford.com,,,
ncube.com,0.0,1.0,True
nektony.com,0.0,1.0,True
neodove.com,0.0,0.0,True
superpages.com,0.0,1.0,True
netomi.com,2.0,1.0,True
netrivals.com,0.0,2.0,True
networkworld.com,2.0,0.0,True
neusourcestartup.com,0.0,0.0,True
nevinainfotech.com,18.0,3.0,True
hotelnewsresource.com,0.0,2.0,True
nea.com,0.0,0.0,True
newscientist.com,0.0,4.0,True
newscaststudio.com,0.0,1.0,True
nextdayanimations.com,3.0,2.0,True
nextraone.com,5.0,0.0,True
nfib.com,0.0,2.0,True
ngpcap.com,0.0,0.0,True
nibusinessinfo.co.uk,3.0,3.0,True
nimapinfotech.com,8.0,0.0,True
ninjacat.io,4.0,0.0,True
nintendo.co.uk,0.0,0.0,True
nissanusa.com,0.0,1.0,True
